球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
詹姆斯-哈登,18-19,负,雷霆112-111火箭,1,37,39.30%,11,28,33.30%,5,15,92.30%,12,13,10,1,9,3,1,1,4,4,39
詹姆斯-哈登,18-19,胜,太阳113-149火箭,1,29,71.40%,10,14,83.30%,5,6,71.40%,5,7,13,0,13,9,2,0,6,3,30
詹姆斯-哈登,18-19,胜,尼克斯96-120火箭,1,29,38.10%,8,21,38.50%,5,13,100.00%,5,5,9,1,8,8,1,1,3,2,26
詹姆斯-哈登,18-19,胜,快船103-135火箭,1,30,60.00%,9,15,42.90%,3,7,83.30%,10,12,7,1,6,7,0,0,6,3,31
詹姆斯-哈登,18-19,胜,国王105-130火箭,1,29,63.20%,12,19,58.30%,7,12,83.30%,5,6,3,0,3,10,1,0,2,2,36
詹姆斯-哈登,18-19,胜,国王108-119火箭,1,38,41.90%,13,31,30.40%,7,23,94.40%,17,18,11,1,10,10,0,0,3,1,50
詹姆斯-哈登,18-19,胜,掘金85-112火箭,1,32,45.50%,10,22,45.50%,5,11,92.90%,13,14,6,2,4,6,1,1,4,2,38
詹姆斯-哈登,18-19,负,雄鹿108-94火箭,1,38,34.60%,9,26,11.10%,1,9,80.00%,4,5,10,0,10,7,0,2,4,4,23
詹姆斯-哈登,18-19,胜,鹈鹕90-113火箭,1,29,52.60%,10,19,50.00%,6,12,100.00%,2,2,3,0,3,4,1,1,6,1,28
詹姆斯-哈登,18-19,胜,马刺105-111火箭,1,37,55.90%,19,34,69.20%,9,13,82.40%,14,17,7,2,5,1,3,0,3,3,61
詹姆斯-哈登,18-19,负,灰熊126-125火箭,1,46,46.20%,18,39,52.90%,9,17,100.00%,12,12,7,1,6,8,2,2,3,3,57
詹姆斯-哈登,18-19,胜,老鹰105-121火箭,1,33,44.40%,8,18,36.40%,4,11,91.70%,11,12,8,0,8,10,1,1,4,1,31
詹姆斯-哈登,18-19,胜,森林狼102-117火箭,1,32,33.30%,8,24,33.30%,4,12,,0,0,2,0,2,10,1,0,3,4,20
詹姆斯-哈登,18-19,胜,太阳102-108火箭,1,42,48.00%,12,25,27.30%,3,11,82.40%,14,17,9,0,9,11,6,3,6,3,41
詹姆斯-哈登,18-19,负,勇士106-104火箭,1,37,43.50%,10,23,16.70%,2,12,77.80%,7,9,3,0,3,10,3,0,2,1,29
詹姆斯-哈登,18-19,胜,黄蜂106-118火箭,1,35,33.30%,7,21,33.30%,3,9,91.70%,11,12,6,1,5,10,3,0,4,3,28
詹姆斯-哈登,18-19,胜,独行侠93-94火箭,1,34,28.00%,7,25,20.00%,3,15,100.00%,3,3,5,1,4,4,0,1,5,5,20
詹姆斯-哈登,18-19,胜,76人91-107火箭,1,32,50.00%,11,22,27.30%,3,11,85.70%,6,7,10,0,10,7,2,0,5,3,31
詹姆斯-哈登,18-19,胜,猛龙95-107火箭,1,37,40.00%,12,30,33.30%,3,9,100.00%,8,8,1,0,1,3,3,0,1,4,35
詹姆斯-哈登,18-19,胜,凯尔特104-115火箭,1,39,45.20%,14,31,33.30%,6,18,88.90%,8,9,7,0,7,4,2,1,4,6,42
詹姆斯-哈登,18-19,胜,热火118-121火箭,1,44,50.00%,16,32,44.40%,8,18,100.00%,18,18,7,2,5,10,4,1,4,1,58
詹姆斯-哈登,18-19,胜,黄蜂113-118火箭,1,36,34.50%,10,29,9.10%,1,11,100.00%,9,9,3,0,3,7,2,1,1,2,30
詹姆斯-哈登,18-19,胜,老鹰111-119火箭,1,36,33.30%,7,21,0.00%,0,10,87.50%,14,16,5,0,5,4,1,0,6,1,28
詹姆斯-哈登,18-19,负,湖人111-106火箭,1,37,45.80%,11,24,20.00%,2,10,85.70%,6,7,6,0,6,6,1,1,8,6,30
詹姆斯-哈登,18-19,负,森林狼121-111火箭,1,40,44.10%,15,34,36.40%,8,22,100.00%,4,4,5,2,3,6,0,0,6,2,42
詹姆斯-哈登,18-19,胜,独行侠104-120火箭,1,36,39.10%,9,23,35.30%,6,17,100.00%,7,7,8,1,7,7,5,0,5,1,31
詹姆斯-哈登,18-19,负,雷霆117-112火箭,1,37,39.30%,11,28,37.50%,6,16,93.30%,14,15,2,0,2,1,1,0,5,2,42
詹姆斯-哈登,18-19,胜,国王101-127火箭,1,32,50.00%,13,26,61.50%,8,13,100.00%,2,2,6,2,4,1,2,1,2,4,36
詹姆斯-哈登,18-19,胜,太阳110-118火箭,1,38,57.70%,15,26,38.50%,5,13,81.80%,9,11,8,0,8,6,3,1,3,3,44
詹姆斯-哈登,18-19,胜,爵士98-125火箭,1,40,54.50%,12,22,33.30%,4,12,100.00%,15,15,12,0,12,5,6,4,5,4,43
詹姆斯-哈登,18-19,负,掘金136-122火箭,1,37,42.90%,9,21,50.00%,7,14,55.60%,5,9,6,2,4,9,2,1,5,2,30
詹姆斯-哈登,18-19,负,鹈鹕121-116火箭,1,39,34.40%,11,32,33.30%,6,18,90.00%,9,10,11,2,9,6,4,1,5,1,37
詹姆斯-哈登,18-19,胜,魔术98-103火箭,1,37,51.90%,14,27,33.30%,4,12,88.90%,8,9,11,1,10,6,1,3,5,3,40
詹姆斯-哈登,18-19,胜,猛龙119-121火箭,1,40,36.00%,9,25,15.40%,2,13,100.00%,15,15,2,0,2,7,0,1,4,2,35
