date,station,city,pressure,wind_speed,wind_direction,temperature,humidity,rain20,rain08,cloud,visibility,phenomenon
20130101,201,B,1013.2,3.5,999001,12,39,0,0,93,9000,
20130101,501,E,783.8,3.5,999009,-10.5,48,0,0,0,25000,"03,16,02,"
20130101,502,E,807.8,3.6,999013,-10.4,50,0,0,0,11000,"03,02,"
20130101,503,E,831.1,3.3,999002,-11.5,44,0,0,0,12000,"03,"
20130101,504,E,846.8,1.7,999003,-7.2,51,0,0,0,8000,"03,02,"
20130102,201,B,1011.6,3.1,999004,16.4,50,0,0,53,8000,"05,"
20130102,501,E,791.2,4.8,999007,-13.3,61,0,0,80,20000,"03,02,"
20130102,502,E,815.6,3.1,999014,-11.9,58,0,0,75,15000,"03,02,"
20130102,503,E,839.5,4.6,999004,-12,49,0,0,55,15000,"03,"
20130102,504,E,855.4,3,999003,-8.1,48,0,0,80,11000,"03,"
20130103,201,B,1015.5,5.9,999002,15.8,61,0,0,100,6000,"05,"
20130103,501,E,791.2,2.9,999010,-13.5,62,0,0,27,20000,"03,02,"
20130103,502,E,815.8,3.4,999007,-10.3,55,0,0,68,20000,"03,"
20130103,503,E,839.5,3.1,999015,-11.6,45,0,0,30,15000,"03,"
20130103,504,E,855.5,2.6,999016,-7.3,42,0,0,33,12000,"03,"
20130104,201,B,1014.3,5.4,999002,9.8,71,0,0,100,6000,"05,"
20130104,501,E,785.4,3.1,999008,-11,61,0,0,73,18000,"03,02,"
20130104,502,E,809.6,2.3,999012,-10.7,64,0,0,60,15000,"03,02,"
20130104,503,E,833,4.8,999003,-11.1,52,0,0,50,12000,"03,"
20130104,504,E,848.7,1.9,999003,-6.4,52,0,0,47,11000,"03,"
20130105,201,B,1011.4,3.9,999001,11.6,68,0,0,63,8000,"05,"
20130105,501,E,786.8,3.6,999009,-11,67,0,0,73,20000,"03,02,"
20130105,502,E,811,2.9,999012,-9.2,65,0,0,90,12000,"03,02,"
20130105,503,E,834.5,3.9,999013,-9.7,48,0,0,73,12000,"03,"
20130105,504,E,850.4,2,999002,-5.8,47,0,0,67,11000,"03,"
20130106,201,B,1012.3,4.5,999015,12.2,76,0,0,80,7000,"05,10,"
20130106,501,E,787.5,3.6,999008,-11,66,0,0,100,15000,"03,02,"
20130106,502,E,811.8,2.2,999004,-10.2,67,0,0,85,8000,"03,02,"
20130106,503,E,835.1,4.3,999003,-10.9,49,0,0,50,12000,"03,"
20130106,504,E,851,1.6,999003,-6.3,55,0,0,100,8000,"03,"
20130107,201,B,1011.2,3.6,999001,13.9,72,0,0,48,5500,"10,05,"
