行业类型,日期1,有功功率最大值（kw）,有功功率最小值（kw）,最高温度,最低温度,白天风力风向,夜晚风力风向,天气1,天气2
商业,2019-01-01,64027.8582,23758.797,12,7,1,1,5.0,5.0
商业,2019-01-02,75467.2143,20231.6265,11,6,1,1,8.0,8.0
商业,2019-01-03,132776.9442,20443.6182,15,9,1,1,3.0,8.0
商业,2019-01-04,97731.1308,19858.1592,17,12,1,1,5.0,8.0
商业,2019-01-05,132883.1868,19766.6994,17,12,1,1,5.0,8.0
商业,2019-01-06,95361.0591,20706.7386,16,11,1,1,5.0,5.0
商业,2019-01-07,138700.0587,19647.5301,16,12,1,1,5.0,5.0
商业,2019-01-08,138097.8141,19536.6081,15,12,1,1,5.0,5.0
商业,2019-01-09,123301.8492,19472.298,18,11,1,1,5.0,8.0
商业,2019-01-10,144992.7153,19104.5562,17,13,1,1,5.0,5.0
商业,2019-01-11,143797.0083,19187.9259,18,15,1,1,5.0,8.0
商业,2019-01-12,102870.5328,17073.3141,20,14,1,1,3.0,5.0
商业,2019-01-13,124603.7418,14190.024,22,16,1,1,5.0,5.0
商业,2019-01-14,122467.491,13924.0773,22,15,1,1,5.0,5.0
商业,2019-01-15,93672.2991,14393.0619,20,12,1,1,5.0,5.0
商业,2019-01-16,115901.9559,14880.5883,15,10,5,5,5.0,5.0
商业,2019-01-17,126382.4988,14937.7992,18,9,1,1,3.0,3.0
商业,2019-01-18,125451.8388,14602.7823,18,9,1,1,3.0,5.0
商业,2019-01-19,91395.5676,13913.1204,20,14,1,1,5.0,5.0
商业,2019-01-20,122805.3135,13305.2451,22,12,5,5,3.0,5.0
商业,2019-01-21,92495.6631,13330.5747,17,8,5,5,3.0,3.0
商业,2019-01-22,118275.7545,14054.0787,17,7,1,1,0.0,0.0
商业,2019-01-23,123532.5069,13645.9623,19,9,1,1,0.0,0.0
商业,2019-01-24,96052.8045,14155.8366,20,12,1,1,3.0,3.0
商业,2019-01-25,112161.0006,13760.4123,23,12,1,1,0.0,0.0
商业,2019-01-26,112360.5885,13245.4515,20,10,5,5,0.0,0.0
商业,2019-01-27,116011.3176,13232.0529,23,12,1,1,0.0,3.0
商业,2019-01-28,120321.5604,13036.6083,22,12,1,1,3.0,0.0
商业,2019-01-29,118284.3672,12234.2742,23,14,1,1,5.0,5.0
商业,2019-01-30,120255.0675,12421.5195,25,15,1,1,3.0,5.0
商业,2019-01-31,119564.7978,12525.663,24,12,1,1,3.0,3.0
商业,2019-02-01,114164.0418,11688.1047,19,12,1,1,3.0,5.0
商业,2019-02-02,113758.9314,11479.8264,23,15,1,1,5.0,3.0
商业,2019-02-03,110416.6215,11270.5461,22,16,1,1,5.0,3.0
商业,2019-02-04,105850.8618,11192.8401,26,18,1,1,5.0,5.0
商业,2019-02-05,111112.5558,11620.7343,26,19,1,1,5.0,5.0
商业,2019-02-06,108947.595,11612.8812,26,20,5,5,3.0,5.0
商业,2019-02-07,89833.0671,12207.2238,28,21,1,1,5.0,3.0
商业,2019-02-08,116272.3434,12108.5253,28,20,1,1,3.0,3.0
