行业类型,日期1,有功功率最大值（kw）,有功功率最小值（kw）,最高温度,最低温度,白天风力风向,夜晚风力风向,天气1,天气2
普通工业,2019-01-01,6179.9364,4093.0467,12,7,1,1,5.0,5.0
普通工业,2019-01-02,10711.9704,3971.5308,11,6,1,1,8.0,8.0
普通工业,2019-01-03,10079.0262,4033.8369,15,9,1,1,3.0,8.0
普通工业,2019-01-04,9713.3055,4145.8497,17,12,1,1,5.0,8.0
普通工业,2019-01-05,6958.3842,3965.1792,17,12,1,1,5.0,8.0
普通工业,2019-01-06,6327.9399,3865.3926,16,11,1,1,5.0,5.0
普通工业,2019-01-07,9207.039,3669.0396,16,12,1,1,5.0,5.0
普通工业,2019-01-08,9105.5823,3960.378,15,12,1,1,5.0,5.0
普通工业,2019-01-09,9560.2095,4016.7975,18,11,1,1,5.0,8.0
普通工业,2019-01-10,9690.6846,3898.9248,17,13,1,1,5.0,5.0
普通工业,2019-01-11,8421.3138,4021.524,18,15,1,1,5.0,8.0
普通工业,2019-01-12,6113.1345,3575.019,20,14,1,1,3.0,5.0
普通工业,2019-01-13,5908.7964,3615.9144,22,16,1,1,5.0,5.0
普通工业,2019-01-14,8404.2153,3624.5088,22,15,1,1,5.0,5.0
普通工业,2019-01-15,7951.3584,3513.732,20,12,1,1,5.0,5.0
普通工业,2019-01-16,8757.7587,3980.9811,15,10,5,5,5.0,5.0
普通工业,2019-01-17,8376.3204,4042.4142,18,9,1,1,3.0,3.0
普通工业,2019-01-18,8151.3177,3784.9626,18,9,1,1,3.0,5.0
普通工业,2019-01-19,6382.7394,3615.8835,20,14,1,1,5.0,5.0
普通工业,2019-01-20,5788.92,3563.985,22,12,5,5,3.0,5.0
普通工业,2019-01-21,7180.7055,3615.7188,17,8,5,5,3.0,3.0
普通工业,2019-01-22,7317.5781,3626.0559,17,7,1,1,0.0,0.0
普通工业,2019-01-23,7091.1306,3723.3174,19,9,1,1,0.0,0.0
普通工业,2019-01-24,6485.1657,3531.9468,20,12,1,1,3.0,3.0
普通工业,2019-01-25,6437.1237,3296.3307,23,12,1,1,0.0,0.0
普通工业,2019-01-26,4429.1286,3110.1102,20,10,5,5,0.0,0.0
普通工业,2019-01-27,4143.0579,2963.8668,23,12,1,1,0.0,3.0
普通工业,2019-01-28,5047.9317,2894.8959,22,12,1,1,3.0,0.0
普通工业,2019-01-29,5022.3501,2775.2802,23,14,1,1,5.0,5.0
普通工业,2019-01-30,4590.1098,2663.7027,25,15,1,1,3.0,5.0
普通工业,2019-01-31,4507.2798,2617.5417,24,12,1,1,3.0,3.0
普通工业,2019-02-01,4431.3387,2582.715,19,12,1,1,3.0,5.0
普通工业,2019-02-02,4133.5731,2567.4282,23,15,1,1,5.0,3.0
普通工业,2019-02-03,3819.8385,2540.6772,22,16,1,1,5.0,3.0
普通工业,2019-02-04,3046.3062,2265.9003,26,18,1,1,5.0,5.0
普通工业,2019-02-05,3226.5792,2135.0706,26,19,1,1,5.0,5.0
普通工业,2019-02-06,3079.9038,2104.0323,26,20,5,5,3.0,5.0
普通工业,2019-02-07,3247.6896,2271.948,28,21,1,1,5.0,3.0
普通工业,2019-02-08,3212.7159,2298.0531,28,20,1,1,3.0,3.0
普通工业,2019-02-09,3186.9318,2403.081,23,16,1,1,5.0,5.0
普通工业,2019-02-10,3131.0994,2428.8414,12,12,1,1,5.0,5.0
普通工业,2019-02-11,4435.9197,2394.0468,13,8,1,1,8.0,3.0
普通工业,2019-02-12,4286.8362,2544.6738,20,11,1,1,3.0,3.0
普通工业,2019-02-13,4633.5651,2514.474,24,18,1,1,5.0,5.0
普通工业,2019-02-14,4810.707,2593.8552,24,17,1,1,5.0,5.0
普通工业,2019-02-15,5071.3692,2681.1744,25,17,1,1,6.0,6.0
普通工业,2019-02-16,4047.7119,-1.35,25,16,1,1,5.0,8.0
普通工业,2019-02-17,4104.4272,2648.9886,15,12,1,1,8.0,11.0
普通工业,2019-02-18,6036.7914,2739.411,15,13,1,1,13.0,13.0
普通工业,2019-02-19,6112.83,2869.6299,20,16,1,1,8.0,5.0
普通工业,2019-02-20,6145.8384,2825.0994,24,18,1,1,6.0,6.0
普通工业,2019-02-21,6680.1558,3067.8894,24,15,1,1,13.0,8.0
普通工业,2019-02-22,6722.9943,3097.7124,18,11,1,1,5.0,11.0
普通工业,2019-02-23,4870.3551,2878.6431,13,11,1,1,8.0,8.0
普通工业,2019-02-24,5164.3017,3019.5117,13,9,1,1,8.0,5.0
普通工业,2019-02-25,7952.3295,3083.1,16,12,1,1,8.0,5.0
普通工业,2019-02-26,7845.1419,3193.8828,14,11,1,1,8.0,8.0
普通工业,2019-02-27,7890.9975,3428.6175,22,15,1,1,5.0,5.0
普通工业,2019-02-28,8106.5202,3347.556,22,15,1,1,5.0,5.0
普通工业,2019-03-01,7735.2924,3219.9243,25,16,1,1,3.0,3.0
普通工业,2019-03-02,6002.8362,3161.9568,26,15,1,1,3.0,11.0
普通工业,2019-03-03,5263.3683,3126.0867,20,13,1,1,8.0,3.0
普通工业,2019-03-04,7556.0895,3201.8463,22,13,1,1,8.0,8.0
普通工业,2019-03-05,7859.0031,3296.6961,23,15,5,5,7.0,11.0
普通工业,2019-03-06,8046.3447,3392.613,19,14,1,1,,
普通工业,2019-03-07,7930.6569,3289.7226,16,13,1,1,13.0,11.0
普通工业,2019-03-08,8014.5408,3422.0913,16,13,1,1,6.0,6.0
普通工业,2019-03-09,5844.0132,3257.2623,17,13,1,1,9.0,9.0
普通工业,2019-03-10,5660.0796,3250.0632,17,12,1,1,6.0,3.0
普通工业,2019-03-11,7681.1097,3256.4865,22,14,1,1,3.0,0.0
普通工业,2019-03-12,7642.4181,3359.4693,24,14,1,1,0.0,3.0
普通工业,2019-03-13,7809.7461,3366.7998,25,17,1,1,6.0,11.0
普通工业,2019-03-14,8196.6618,3381.5445,20,18,1,1,11.0,8.0
普通工业,2019-03-15,8208.7932,3426.7869,19,14,1,1,8.0,5.0
普通工业,2019-03-16,6091.2501,3319.0353,22,17,1,1,5.0,5.0
普通工业,2019-03-17,5510.6679,3259.0842,24,17,1,1,5.0,5.0
普通工业,2019-03-18,7887.4557,3158.6898,23,17,1,1,8.0,5.0
普通工业,2019-03-19,7725.3486,3377.8857,27,19,1,1,3.0,3.0
普通工业,2019-03-20,8508.1659,3428.8104,28,22,1,1,3.0,3.0
普通工业,2019-03-21,8828.1,3448.0668,29,22,1,1,3.0,6.0
普通工业,2019-03-22,9488.7186,3889.4868,28,18,1,1,7.0,7.0
普通工业,2019-03-23,5960.0292,10.8,17,13,1,1,8.0,9.0
普通工业,2019-03-24,5620.8474,0.672,18,12,1,1,8.0,9.0
普通工业,2019-03-25,7974.2439,3283.3326,18,14,1,1,8.0,5.0
普通工业,2019-03-26,7875.2127,3472.6392,26,18,1,1,5.0,5.0
普通工业,2019-03-27,7902.9828,3489.0306,25,20,1,1,5.0,3.0
普通工业,2019-03-28,8404.104,3537.2772,27,21,1,1,3.0,5.0
普通工业,2019-03-29,8755.947,3725.5914,26,21,1,1,11.0,9.0
普通工业,2019-03-30,5909.9982,3522.6579,27,20,1,1,3.0,3.0
普通工业,2019-03-31,6294.4425,3430.3125,26,18,1,1,11.0,6.0
普通工业,2019-04-01,7717.1916,3410.7405,22,16,1,1,8.0,5.0
普通工业,2019-04-02,7590.0399,3339.2670000000007,24,17,1,1,5.0,5.0
普通工业,2019-04-03,7808.2374,3411.7734,27,20,1,1,5.0,6.0
普通工业,2019-04-04,7774.6056,3634.4865,23,17,1,1,6.0,6.0
普通工业,2019-04-05,5056.6065,3201.5142,27,18,1,1,3.0,3.0
普通工业,2019-04-06,5607.7536,3227.5638,28,21,1,1,3.0,3.0
普通工业,2019-04-07,6184.1355,3497.8167,30,22,1,1,3.0,3.0
普通工业,2019-04-08,9933.8649,3893.7732,31,24,5,5,3.0,3.0
普通工业,2019-04-09,10581.7962,4329.5121,31,24,1,1,3.0,3.0
普通工业,2019-04-10,11294.3784,4586.0664,30,22,1,1,7.0,7.0
普通工业,2019-04-11,11172.5421,4524.219,30,23,1,1,11.0,11.0
普通工业,2019-04-12,8251.1751,3773.8575,19,16,1,1,15.0,
普通工业,2019-04-13,6307.2669,3357.861,22,17,1,1,6.0,13.0
普通工业,2019-04-14,6543.693,3478.2573,25,20,1,1,13.0,6.0
普通工业,2019-04-15,8536.4196,3501.906,25,20,1,1,6.0,13.0
普通工业,2019-04-16,8230.0707,3573.4113,23,19,1,1,,8.0
普通工业,2019-04-17,8590.9896,3594.5514,27,20,1,1,3.0,3.0
普通工业,2019-04-18,8978.8389,3868.8264,25,22,1,1,11.0,15.0
普通工业,2019-04-19,8960.9748,3864.1467,25,22,1,1,15.0,13.0
普通工业,2019-04-20,6779.214,3522.486,28,20,1,1,11.0,7.0
普通工业,2019-04-21,6751.4241,3547.8207,27,23,1,1,11.0,6.0
普通工业,2019-04-22,10528.7145,3895.9725,30,24,1,1,7.0,3.0
普通工业,2019-04-23,11513.8758,4283.748,30,24,1,1,6.0,3.0
普通工业,2019-04-24,12196.4793,5060.3022,33,25,1,1,3.0,3.0
普通工业,2019-04-25,12840.2838,5303.090999999999,32,25,1,1,7.0,5.0
普通工业,2019-04-26,12978.0828,5481.3279,30,25,1,1,13.0,11.0
普通工业,2019-04-27,6936.0543,4183.4202,26,22,1,1,8.0,6.0
普通工业,2019-04-28,10181.5893,3850.6749,27,22,1,1,7.0,6.0
普通工业,2019-04-29,11387.589,4275.7659,30,23,1,1,6.0,7.0
普通工业,2019-04-30,10911.9171,4210.5987,27,21,1,1,15.0,6.0
普通工业,2019-05-01,5493.9531,3514.5642,27,19,1,1,3.0,3.0
普通工业,2019-05-02,5358.5358,3378.1692,25,20,1,1,6.0,3.0
普通工业,2019-05-03,6220.5999,3311.2794,26,20,1,1,3.0,3.0
普通工业,2019-05-04,6423.2439,3256.9641,25,21,1,1,8.0,8.0
普通工业,2019-05-05,8577.294,3195.3162,22,18,5,5,13.0,13.0
普通工业,2019-05-06,8371.7553,3477.9990000000007,23,19,1,1,11.0,11.0
普通工业,2019-05-07,8144.8527,3498.1572,23,19,1,1,6.0,11.0
普通工业,2019-05-08,8532.9819,3404.8740000000007,22,19,1,1,13.0,11.0
普通工业,2019-05-09,8261.4351,3409.7208,24,20,1,1,5.0,5.0
普通工业,2019-05-10,9068.1936,3724.9071,29,23,1,1,3.0,3.0
普通工业,2019-05-11,7487.6061,3912.1698,32,24,1,1,3.0,3.0
普通工业,2019-05-12,7946.8629,3998.151,32,23,1,1,3.0,3.0
普通工业,2019-05-13,12995.8986,4561.9428,33,25,1,1,3.0,3.0
普通工业,2019-05-14,13443.6651,5174.0922,32,26,1,1,3.0,3.0
普通工业,2019-05-15,14543.8749,5538.6333,32,26,1,1,7.0,3.0
普通工业,2019-05-16,15372.39,5839.0335,33,26,1,1,7.0,3.0
普通工业,2019-05-17,15471.8583,6106.2831,34,27,1,1,7.0,6.0
普通工业,2019-05-18,10688.9616,5396.8161,35,27,1,1,7.0,6.0
普通工业,2019-05-19,10537.8729,5357.88,35,24,1,1,7.0,11.0
普通工业,2019-05-20,14630.5101,6359.5794,31,24,1,1,11.0,6.0
普通工业,2019-05-21,13168.9473,5699.5455,31,24,1,1,5.0,6.0
普通工业,2019-05-22,12817.9146,4992.8964,29,24,1,1,11.0,13.0
普通工业,2019-05-23,12371.4141,4973.210999999998,29,23,1,1,6.0,13.0
普通工业,2019-05-24,12723.948,4889.7183,29,24,1,1,,11.0
普通工业,2019-05-25,8578.8672,4420.515,31,25,1,1,11.0,11.0
普通工业,2019-05-26,8093.8455,4514.2398,30,24,1,1,11.0,13.0
普通工业,2019-05-27,12159.2274,4991.5851,29,24,1,1,15.0,13.0
普通工业,2019-05-28,12989.8464,5231.9778,29,24,1,1,11.0,14.0
普通工业,2019-05-29,11335.2495,4988.6745,27,24,1,1,15.0,13.0
普通工业,2019-05-30,10999.9368,4430.6808,29,24,1,1,13.0,13.0
普通工业,2019-05-31,11546.2107,4403.9049,29,25,1,1,11.0,6.0
普通工业,2019-06-01,9408.8235,4275.864000000001,30,25,1,1,13.0,13.0
普通工业,2019-06-02,8988.132,4348.9107,31,25,1,1,13.0,11.0
普通工业,2019-06-03,12965.1279,4829.5641,31,25,1,1,7.0,11.0
普通工业,2019-06-04,13564.6347,5548.6119,34,26,1,1,7.0,7.0
普通工业,2019-06-05,13880.5416,5181.4872,33,26,1,1,7.0,3.0
普通工业,2019-06-06,13936.5273,5530.3869,35,26,1,1,7.0,3.0
普通工业,2019-06-07,8181.1092,4934.7867,35,28,1,1,7.0,3.0
普通工业,2019-06-08,9421.1664,51.12,35,28,1,1,6.0,3.0
普通工业,2019-06-09,9918.7599,0.36,35,27,1,1,7.0,7.0
普通工业,2019-06-10,16212.4479,0.36,33,24,1,1,7.0,13.0
普通工业,2019-06-11,13852.8369,4.896,29,25,1,1,,11.0
普通工业,2019-06-12,13409.3652,5083.4745,30,24,1,1,13.0,13.0
普通工业,2019-06-13,14116.3215,5355.0282,31,25,1,1,15.0,6.0
普通工业,2019-06-14,8808.7041,1662.726,33,25,1,1,0.0,3.0
普通工业,2019-06-15,290.172,2.088,35,25,1,1,3.0,3.0
