行业类型,日期1,有功功率最大值（kw）,有功功率最小值（kw）,最高温度,最低温度,白天风力风向,夜晚风力风向,天气1,天气2
非普工业,2019-10-10,2621.3316,892.5384,32,25,1,1,3.0,3.0
非普工业,2019-10-11,2669.0172,978.3816,33,25,1,1,0.0,0.0
非普工业,2019-10-12,2632.9704,1020.0588,33,24,1,1,3.0,7.0
非普工业,2019-10-13,1810.2156,965.6964,31,23,1,1,7.0,7.0
非普工业,2019-10-14,2522.4576,943.8792,29,23,1,1,3.0,3.0
非普工业,2019-10-15,2547.534,969.5412,30,23,1,1,0.0,0.0
非普工业,2019-10-16,2281.4472,864.7860000000002,31,23,1,1,3.0,0.0
非普工业,2019-10-17,2250.7188,861.5748,31,21,1,1,0.0,0.0
非普工业,2019-10-18,2021.9556,842.7576,30,20,1,1,0.0,0.0
非普工业,2019-10-19,1603.122,830.6784,31,22,1,1,0.0,0.0
非普工业,2019-10-20,1572.9312,831.1956,30,22,1,1,0.0,0.0
非普工业,2019-10-21,2236.6104,852.6804,30,21,1,1,0.0,0.0
非普工业,2019-10-22,2110.0848,849.2664,30,22,1,1,3.0,0.0
非普工业,2019-10-23,2228.3592,843.8580000000002,30,22,1,1,8.0,8.0
非普工业,2019-10-24,2182.4424,848.91,28,22,1,1,5.0,3.0
非普工业,2019-10-25,2176.9032,833.07,30,21,1,1,3.0,3.0
非普工业,2019-10-26,1633.266,815.1084,28,21,1,1,5.0,5.0
非普工业,2019-10-27,1445.37,782.8716,26,20,1,1,5.0,5.0
非普工业,2019-10-28,2075.7648,738.6672,28,19,1,1,3.0,3.0
非普工业,2019-10-29,1705.2348,684.204,27,17,1,1,0.0,0.0
非普工业,2019-10-30,1856.2896,735.0336,27,17,1,1,3.0,3.0
非普工业,2019-10-31,1900.5336,682.2624,28,19,1,1,3.0,3.0
非普工业,2019-11-01,1923.9336,688.1532,28,20,1,1,3.0,3.0
非普工业,2019-11-02,1574.388,800.082,31,23,1,1,3.0,3.0
非普工业,2019-11-03,1599.9984,539.9652,30,20,5,5,3.0,0.0
非普工业,2019-11-04,1971.9636,755.4516,28,18,1,1,0.0,0.0
非普工业,2019-11-05,1871.2008,695.442,27,17,1,1,0.0,0.0
非普工业,2019-11-06,1925.4288,718.9188,28,18,1,1,0.0,0.0
非普工业,2019-11-07,1909.1424,706.6524,27,17,5,5,0.0,3.0
非普工业,2019-11-08,1809.5796,706.5672,27,17,5,5,0.0,0.0
