min,date_day
1091390.6,2021-09-01
1108244.2,2021-09-02
1108424.9,2021-09-03
1120382.5,2021-09-04
1046464.94,2021-09-05
1004027.44,2021-09-06
1082837.2,2021-09-07
1074554.0,2021-09-08
1072028.2,2021-09-09
1078560.2,2021-09-10
1095929.8,2021-09-11
1060000.5,2021-09-12
1000789.8,2021-09-13
1067398.6,2021-09-14
1064892.1,2021-09-15
1060001.0,2021-09-16
1079696.2,2021-09-17
1078307.5,2021-09-18
1018687.3,2021-09-19
991772.7,2021-09-20
1062263.6,2021-09-21
1085177.1,2021-09-22
1089920.6,2021-09-23
1050182.0,2021-09-24
1031877.3,2021-09-25
1016720.5,2021-09-26
990837.44,2021-09-27
997362.94,2021-09-28
1024765.7,2021-09-29
1033116.0,2021-09-30
809275.8,2021-10-01
786201.0,2021-10-02
863771.4,2021-10-03
919745.6,2021-10-04
950589.25,2021-10-05
945975.1,2021-10-06
932319.56,2021-10-07
929414.5,2021-10-08
941461.75,2021-10-09
958616.94,2021-10-10
940691.06,2021-10-11
989340.94,2021-10-12
1001450.44,2021-10-13
1006254.75,2021-10-14
1009965.8,2021-10-15
998295.7,2021-10-16
964069.8,2021-10-17
926707.3,2021-10-18
948777.2,2021-10-19
1028013.2,2021-10-20
984032.5,2021-10-21
949492.25,2021-10-22
944106.56,2021-10-23
924002.4,2021-10-24
906838.5,2021-10-25
959443.25,2021-10-26
985329.3,2021-10-27
992319.0,2021-10-28
970111.8,2021-10-29
955511.44,2021-10-30
927594.5,2021-10-31
894271.44,2021-11-01
947531.8,2021-11-02
953895.06,2021-11-03
951952.5,2021-11-04
953648.1,2021-11-05
963993.0,2021-11-06
951868.8,2021-11-07
918279.44,2021-11-08
938084.6,2021-11-09
941736.3,2021-11-10
941465.25,2021-11-11
937718.5,2021-11-12
940588.8,2021-11-13
927014.7,2021-11-14
892178.4,2021-11-15
933220.25,2021-11-16
960282.94,2021-11-17
978064.56,2021-11-18
993926.2,2021-11-19
1003832.75,2021-11-20
977761.94,2021-11-21
945278.5,2021-11-22
945080.2,2021-11-23
942747.9,2021-11-24
948695.6,2021-11-25
955152.1,2021-11-26
936516.4,2021-11-27
917400.8,2021-11-28
882074.5,2021-11-29
896807.2,2021-11-30
