max,date_day
112252.78,2021-09-01
106774.27,2021-09-02
110959.12,2021-09-03
96477.46,2021-09-04
91985.65,2021-09-05
106532.54,2021-09-06
110550.94,2021-09-07
110774.766,2021-09-08
111416.555,2021-09-09
113465.5,2021-09-10
92529.21,2021-09-11
87957.08,2021-09-12
108666.15,2021-09-13
93504.99,2021-09-14
99539.234,2021-09-15
101269.74,2021-09-16
107046.65,2021-09-17
96880.875,2021-09-18
86460.086,2021-09-19
97415.71,2021-09-20
94022.625,2021-09-21
99866.83,2021-09-22
100876.984,2021-09-23
97339.94,2021-09-24
87728.05,2021-09-25
83215.47,2021-09-26
99437.914,2021-09-27
99981.86,2021-09-28
101289.24,2021-09-29
87516.03,2021-09-30
86448.52,2021-10-01
82526.734,2021-10-02
71658.22,2021-10-03
76315.21,2021-10-04
83484.125,2021-10-05
89751.85,2021-10-06
63005.94,2021-10-07
65999.586,2021-10-08
71082.914,2021-10-09
74846.836,2021-10-10
74489.68,2021-10-11
67323.18,2021-10-12
61619.457,2021-10-13
58689.246,2021-10-14
61978.863,2021-10-15
64772.04,2021-10-16
63761.582,2021-10-17
73046.2,2021-10-18
73562.71,2021-10-19
75777.336,2021-10-20
78712.25,2021-10-21
76348.18,2021-10-22
66943.945,2021-10-23
63086.47,2021-10-24
63683.785,2021-10-25
62397.883,2021-10-26
61115.27,2021-10-27
59234.89,2021-10-28
58161.953,2021-10-29
55638.4,2021-10-30
55511.773,2021-10-31
65445.613,2021-11-01
70801.43,2021-11-02
69417.06,2021-11-03
63012.094,2021-11-04
61314.715,2021-11-05
61186.383,2021-11-06
60267.543,2021-11-07
65567.305,2021-11-08
60693.96,2021-11-09
58322.355,2021-11-10
61524.168,2021-11-11
62918.637,2021-11-12
62329.082,2021-11-13
57033.38,2021-11-14
58307.125,2021-11-15
56866.35,2021-11-16
57629.56,2021-11-17
58871.312,2021-11-18
58201.55,2021-11-19
56738.71,2021-11-20
52861.47,2021-11-21
61757.254,2021-11-22
62312.395,2021-11-23
67234.75,2021-11-24
71504.414,2021-11-25
74707.07,2021-11-26
71843.8,2021-11-27
65016.78,2021-11-28
57368.043,2021-11-29
57044.246,2021-11-30
