max,date_day
4224.739,2021-09-01
4008.1565,2021-09-02
4545.647,2021-09-03
4179.499,2021-09-04
3985.4995,2021-09-05
3733.2017,2021-09-06
4426.35,2021-09-07
2307.6277,2021-09-08
4301.28,2021-09-09
3947.8223,2021-09-10
4426.331,2021-09-11
3815.0881,2021-09-12
3620.9504,2021-09-13
3762.1567,2021-09-14
4011.1675,2021-09-15
3934.91,2021-09-16
3924.6995,2021-09-17
4053.7695,2021-09-18
3496.524,2021-09-19
3379.9763,2021-09-20
3746.488,2021-09-21
3941.411,2021-09-22
4207.1255,2021-09-23
3657.3328,2021-09-24
3323.699,2021-09-25
3416.2036,2021-09-26
3354.4333,2021-09-27
3249.4092,2021-09-28
3255.015,2021-09-29
3203.626,2021-09-30
2794.9504,2021-10-01
2663.5012,2021-10-02
2623.082,2021-10-03
2869.2546,2021-10-04
2945.0388,2021-10-05
2696.3245,2021-10-06
2466.03,2021-10-07
2393.257,2021-10-08
2478.9016,2021-10-09
2530.2659,2021-10-10
2537.8408,2021-10-11
2681.93,2021-10-12
2858.38,2021-10-13
2674.3616,2021-10-14
2729.2817,2021-10-15
2955.5625,2021-10-16
2728.8464,2021-10-17
2595.9233,2021-10-18
2579.1758,2021-10-19
2581.9568,2021-10-20
2620.0486,2021-10-21
2385.0156,2021-10-22
2390.7158,2021-10-23
2326.3826,2021-10-24
2290.6577,2021-10-25
2328.3713,2021-10-26
2537.828,2021-10-27
2679.168,2021-10-28
2564.2043,2021-10-29
2542.8467,2021-10-30
2371.3513,2021-10-31
2454.1406,2021-11-01
2542.8838,2021-11-02
2484.7888,2021-11-03
2441.3428,2021-11-04
2351.151,2021-11-05
2374.3506,2021-11-06
2385.1604,2021-11-07
2321.153,2021-11-08
2329.1519,2021-11-09
2274.1316,2021-11-10
2236.345,2021-11-11
2276.315,2021-11-12
2325.985,2021-11-13
2262.4998,2021-11-14
2163.6326,2021-11-15
2152.2524,2021-11-16
2309.019,2021-11-17
2369.9568,2021-11-18
2497.9495,2021-11-19
982.2379,2021-11-20
1654.8889,2021-11-21
2159.5383,2021-11-22
2269.0696,2021-11-23
2043.7113,2021-11-24
2095.118,2021-11-25
2009.4397,2021-11-26
2092.7153,2021-11-27
2099.7493,2021-11-28
1951.3376,2021-11-29
2001.5819,2021-11-30
