min,date_day
4021.8042,2020-09-01
4031.2725,2020-09-02
3908.626,2020-09-03
3868.8928,2020-09-04
3797.5015,2020-09-05
2870.3381,2020-09-06
3598.0623,2020-09-07
4443.5283,2020-09-08
3839.2654,2020-09-09
4285.927,2020-09-10
4168.8877,2020-09-11
3412.555,2020-09-12
3100.5798,2020-09-13
3680.7773,2020-09-14
4203.668,2020-09-15
3937.9023,2020-09-16
3990.1016,2020-09-17
4080.0193,2020-09-18
3440.147,2020-09-19
2888.2625,2020-09-20
3659.4626,2020-09-21
4255.5034,2020-09-22
3825.288,2020-09-23
4143.5947,2020-09-24
3735.8723,2020-09-25
3110.7415,2020-09-26
3120.5474,2020-09-27
3794.1526,2020-09-28
3818.0344,2020-09-29
3812.8186,2020-09-30
3599.3655,2020-10-01
2709.1028,2020-10-02
2894.1533,2020-10-03
2863.0054,2020-10-04
2896.5046,2020-10-05
3219.5989,2020-10-06
2769.9573,2020-10-07
2176.025,2020-10-08
2337.8882,2020-10-09
2611.4438,2020-10-10
2634.9656,2020-10-11
2396.5725,2020-10-12
2854.4475,2020-10-13
2583.661,2020-10-14
2618.5994,2020-10-15
3213.794,2020-10-16
2984.2468,2020-10-17
2323.8599,2020-10-18
2857.6208,2020-10-19
2979.5027,2020-10-20
2863.2046,2020-10-21
3045.2634,2020-10-22
2822.4033,2020-10-23
2336.4014,2020-10-24
2043.8662,2020-10-25
2342.3987,2020-10-26
2802.091,2020-10-27
2628.109,2020-10-28
2768.808,2020-10-29
2746.3499,2020-10-30
2414.0588,2020-10-31
2219.1455,2020-11-01
2663.4175,2020-11-02
3009.453,2020-11-03
2782.012,2020-11-04
2934.689,2020-11-05
2759.5935,2020-11-06
2502.0889,2020-11-07
2290.8877,2020-11-08
2594.21,2020-11-09
2779.7283,2020-11-10
2670.0159,2020-11-11
2749.1677,2020-11-12
2643.4277,2020-11-13
2489.3018,2020-11-14
2247.0518,2020-11-15
2430.9956,2020-11-16
2788.1436,2020-11-17
2589.8164,2020-11-18
2754.7942,2020-11-19
3008.1504,2020-11-20
2661.016,2020-11-21
2402.7415,2020-11-22
2845.9995,2020-11-23
2934.2478,2020-11-24
2900.0552,2020-11-25
3145.9482,2020-11-26
3062.3625,2020-11-27
2591.3345,2020-11-28
2363.1672,2020-11-29
2460.1072,2020-11-30
