max,date_day
1322.353,2021-09-01
1364.7682,2021-09-02
1493.9823,2021-09-03
1474.5055,2021-09-04
1584.8508,2021-09-05
1655.3372,2021-09-06
1607.4022,2021-09-07
1656.0576,2021-09-08
1565.8016,2021-09-09
1617.2897,2021-09-10
1605.1902,2021-09-11
1603.1598,2021-09-12
1573.2297,2021-09-13
1538.2941,2021-09-14
1575.2548,2021-09-15
1565.4441,2021-09-16
1547.412,2021-09-17
1587.1515,2021-09-18
1580.6624,2021-09-19
1511.2837,2021-09-20
1504.1147,2021-09-21
1555.9359,2021-09-22
1566.4818,2021-09-23
1609.3739,2021-09-24
1563.9443,2021-09-25
1522.3339,2021-09-26
1558.0269,2021-09-27
1490.9426,2021-09-28
1451.5244,2021-09-29
1481.0525,2021-09-30
1509.369,2021-10-01
1393.813,2021-10-02
1403.3345,2021-10-03
1435.0349,2021-10-04
1445.4536,2021-10-05
1456.71,2021-10-06
1399.1019,2021-10-07
1341.1874,2021-10-08
1320.8649,2021-10-09
1291.156,2021-10-10
1276.2517,2021-10-11
1267.647,2021-10-12
1294.7571,2021-10-13
1331.269,2021-10-14
1342.5369,2021-10-15
1370.9031,2021-10-16
1355.7954,2021-10-17
1341.9453,2021-10-18
1265.8373,2021-10-19
1270.7717,2021-10-20
1245.6903,2021-10-21
1226.0488,2021-10-22
1201.2253,2021-10-23
1203.0726,2021-10-24
1202.1052,2021-10-25
1146.5918,2021-10-26
1186.0513,2021-10-27
1208.218,2021-10-28
1248.3773,2021-10-29
1273.2952,2021-10-30
1248.294,2021-10-31
1253.2439,2021-11-01
1272.015,2021-11-02
1294.2534,2021-11-03
1215.3331,2021-11-04
1223.0306,2021-11-05
1219.4553,2021-11-06
1230.691,2021-11-07
1257.9933,2021-11-08
1233.8105,2021-11-09
1254.5034,2021-11-10
1271.9386,2021-11-11
1234.1566,2021-11-12
1247.5997,2021-11-13
1212.1725,2021-11-14
1228.3613,2021-11-15
1229.5497,2021-11-16
1219.565,2021-11-17
1243.2205,2021-11-18
1268.9685,2021-11-19
1305.9093,2021-11-20
732.61096,2021-11-21
581.0485,2021-11-22
1094.4602,2021-11-23
1040.6155,2021-11-24
958.6081,2021-11-25
1063.2506,2021-11-26
1086.0333,2021-11-27
1162.751,2021-11-28
1211.1135,2021-11-29
1120.5142,2021-11-30
