文物采样点	二氧化硅(SiO2)	氧化钠(Na2O)	氧化钾(K2O)	氧化钙(CaO)	氧化镁(MgO)	氧化铝(Al2O3)	氧化铁(Fe2O3)	氧化铜(CuO)	氧化铅(PbO)	氧化钡(BaO)	五氧化二磷(P2O5)	氧化锶(SrO)	氧化锡(SnO2)	二氧化硫(SO2)	类型	表面风化	纹饰	颜色
02	36.28		1.05	2.34	1.18	5.73	1.86	0.26	47.43		3.57	0.19			铅钡	风化	A	浅蓝
08	20.14			1.48		1.34		10.41	28.68	31.23	3.59	0.37		2.58	铅钡	风化	C	紫
08严重风化点	4.61			3.19		1.11		3.14	32.45	30.62	7.56	0.53		15.03	铅钡	风化	C	紫
11	33.59		0.21	3.51	0.71	2.69		4.93	25.39	14.61	9.38	0.37			铅钡	风化	C	浅蓝
19	29.64			2.93	0.59	3.57	1.33	3.51	42.82	5.35	8.83	0.19			铅钡	风化	A	
26	19.79			1.44		0.7		10.57	29.53	32.25	3.13	0.45		1.96	铅钡	风化	C	紫
26严重风化点	3.72		0.4	3.01		1.18		3.6	29.92	35.45	6.04	0.62		15.95	铅钡	风化	C	紫
34	35.78		0.25	0.78		1.62	0.47	1.51	46.55	10	0.34	0.22			铅钡	风化	C	深绿
36	39.57	2.22	0.14	0.37		1.6	0.32	0.68	41.61	10.83	0.07	0.22			铅钡	风化	C	深绿
38	32.93	1.38		0.68		2.57	0.29	0.73	49.31	9.79	0.48	0.41			铅钡	风化	C	深绿
39	26.25			1.11		0.5		0.88	61.03	7.22	1.16	0.61			铅钡	风化	C	深绿
40	16.71			1.87		0.45	0.19		70.21	6.69	1.77	0.68			铅钡	风化	C	
41	18.46		0.44	4.96	2.73	3.33	1.79	0.19	44.12	9.76	7.46	0.47			铅钡	风化	C	浅绿
43部位1	12.41			5.24	0.89	2.25	0.76	5.35	59.85	7.29		0.64			铅钡	风化	C	浅蓝
43部位2	21.7			6.4	0.95	3.41	1.39	1.51	44.75	3.26	12.83	0.47			铅钡	风化	C	浅蓝
48	53.33	0.8	0.32	2.82	1.54	13.65	1.03		15.71	7.31	1.1	0.25	1.31		铅钡	风化	A	
49	28.79			4.58	1.47	5.38	2.74	0.7	34.18	6.1	11.1	0.46			铅钡	风化	A	黑
50	17.98			3.19	0.47	1.87	0.33	1.13	44	14.2	6.34	0.66			铅钡	风化	A	黑
51部位1	24.61			3.58	1.19	5.25	1.19	1.37	40.24	8.94	8.1	0.39	0.47		铅钡	风化	C	浅蓝
51部位2	21.35			5.13	1.45	2.51	0.42	0.75	51.34		8.75				铅钡	风化	C	浅蓝
52	25.74	1.22		2.27	0.55	1.16	0.23	0.7	47.42	8.64	5.71	0.44			铅钡	风化	C	浅蓝
54	22.28		0.32	3.19	1.28	4.15		0.83	55.46	7.04	4.24	0.88			铅钡	风化	C	浅蓝
54严重风化点	17.11				1.11	3.65		1.34	58.46		14.13	1.12			铅钡	风化	C	浅蓝
56	29.15			1.21		1.85		0.79	41.25	15.45	2.54				铅钡	风化	C	蓝绿
57	25.42			1.31		2.18		1.16	45.1	17.3					铅钡	风化	C	蓝绿
58	30.39		0.34	3.49	0.79	3.52	0.86	3.13	39.35	7.66	8.99	0.24			铅钡	风化	C	
