文物编号,纹饰,类型,颜色,表面风化
1,3,1,1.0,0
2,1,2,2.0,1
3,1,1,1.0,0
4,1,1,1.0,0
5,1,1,1.0,0
6,1,1,1.0,0
7,2,1,1.0,1
8,3,2,3.0,1
9,2,1,1.0,1
10,2,1,1.0,1
11,3,2,2.0,1
12,2,1,1.0,1
13,3,1,2.0,0
14,3,1,4.0,0
15,3,1,2.0,0
16,3,1,2.0,0
17,3,1,2.0,0
18,1,1,5.0,0
19,1,2,,1
20,1,2,2.0,0
21,1,1,1.0,0
22,2,1,1.0,1
23,1,2,1.0,1
24,3,2,3.0,0
25,3,2,2.0,1
26,3,2,3.0,1
27,2,1,1.0,1
28,1,2,2.0,1
29,1,2,2.0,1
30,1,2,5.0,0
31,3,2,3.0,0
32,3,2,6.0,0
33,3,2,4.0,0
34,3,2,4.0,1
35,3,2,6.0,0
36,3,2,4.0,1
37,3,2,4.0,0
38,3,2,4.0,1
39,3,2,4.0,1
40,3,2,,1
41,3,2,6.0,1
42,1,2,2.0,1
43,3,2,2.0,1
44,1,2,2.0,1
45,1,2,2.0,0
46,1,2,2.0,0
47,1,2,2.0,0
48,1,2,,1
49,1,2,7.0,1
50,1,2,7.0,1
51,3,2,2.0,1
52,3,2,2.0,1
53,1,2,2.0,1
54,3,2,2.0,1
55,3,2,8.0,0
56,3,2,1.0,1
57,3,2,1.0,1
58,3,2,,1
