max,date_day
814711.7,2021-09-01
817960.8,2021-09-02
839166.5,2021-09-03
832638.2,2021-09-04
820851.44,2021-09-05
821356.4,2021-09-06
822731.75,2021-09-07
818887.4,2021-09-08
816671.25,2021-09-09
826102.4,2021-09-10
818232.0,2021-09-11
813626.8,2021-09-12
806762.2,2021-09-13
806829.5,2021-09-14
803296.44,2021-09-15
809221.6,2021-09-16
815513.3,2021-09-17
805684.44,2021-09-18
804630.5,2021-09-19
811630.6,2021-09-20
813611.1,2021-09-21
822451.3,2021-09-22
811053.7,2021-09-23
803037.6,2021-09-24
813046.0,2021-09-25
801989.4,2021-09-26
791078.4,2021-09-27
805350.7,2021-09-28
807726.56,2021-09-29
729696.2,2021-09-30
610940.2,2021-10-01
603093.4,2021-10-02
634237.6,2021-10-03
725569.06,2021-10-04
770038.9,2021-10-05
780613.5,2021-10-06
783045.8,2021-10-07
782786.3,2021-10-08
786140.6,2021-10-09
787274.1,2021-10-10
782251.8,2021-10-11
782130.56,2021-10-12
804097.0,2021-10-13
804692.3,2021-10-14
794571.06,2021-10-15
788426.56,2021-10-16
791585.25,2021-10-17
783427.25,2021-10-18
783188.94,2021-10-19
74569.63,2021-10-20
656914.94,2021-10-21
787915.94,2021-10-22
794484.44,2021-10-23
784912.3,2021-10-24
787305.5,2021-10-25
785861.94,2021-10-26
797265.44,2021-10-27
796046.9,2021-10-28
794083.44,2021-10-29
791640.56,2021-10-30
762208.9,2021-10-31
756168.94,2021-11-01
755776.1,2021-11-02
782955.9,2021-11-03
791494.56,2021-11-04
796653.94,2021-11-05
793742.0,2021-11-06
789692.1,2021-11-07
784125.1,2021-11-08
779408.44,2021-11-09
785779.94,2021-11-10
781008.06,2021-11-11
784452.75,2021-11-12
788702.56,2021-11-13
781622.8,2021-11-14
760932.0,2021-11-15
759324.3,2021-11-16
789273.8,2021-11-17
803589.4,2021-11-18
813688.44,2021-11-19
719861.56,2021-11-20
795581.2,2021-11-21
786028.2,2021-11-22
784374.9,2021-11-23
791280.2,2021-11-24
791815.8,2021-11-25
781941.06,2021-11-26
781683.5,2021-11-27
780468.8,2021-11-28
765321.8,2021-11-29
755528.75,2021-11-30
