min,date_day
110222.39,2020-09-01
111291.94,2020-09-02
111814.6,2020-09-03
114896.39,2020-09-04
100724.914,2020-09-05
97808.48,2020-09-06
110750.3,2020-09-07
99331.04,2020-09-08
102867.88,2020-09-09
102130.67,2020-09-10
106514.44,2020-09-11
99545.33,2020-09-12
94598.82,2020-09-13
100586.75,2020-09-14
96774.29,2020-09-15
100467.32,2020-09-16
102843.96,2020-09-17
103043.07,2020-09-18
94862.35,2020-09-19
90023.33,2020-09-20
98277.85,2020-09-21
99699.414,2020-09-22
101818.64,2020-09-23
92572.44,2020-09-24
94178.68,2020-09-25
89382.91,2020-09-26
83560.13,2020-09-27
83745.18,2020-09-28
84919.85,2020-09-29
90457.04,2020-09-30
70480.83,2020-10-01
71143.664,2020-10-02
69176.22,2020-10-03
75448.51,2020-10-04
73642.08,2020-10-05
69804.21,2020-10-06
65100.523,2020-10-07
62697.664,2020-10-08
64025.035,2020-10-09
64226.715,2020-10-10
64142.664,2020-10-11
71965.875,2020-10-12
74475.266,2020-10-13
72786.12,2020-10-14
72862.82,2020-10-15
75583.6,2020-10-16
70137.73,2020-10-17
68639.016,2020-10-18
67059.055,2020-10-19
64631.457,2020-10-20
64646.676,2020-10-21
60042.15,2020-10-22
62316.457,2020-10-23
57370.01,2020-10-24
55823.68,2020-10-25
60646.047,2020-10-26
63616.938,2020-10-27
67344.04,2020-10-28
63235.203,2020-10-29
63257.35,2020-10-30
60437.883,2020-10-31
61075.086,2020-11-01
64874.83,2020-11-02
60858.883,2020-11-03
57345.55,2020-11-04
59332.4,2020-11-05
60434.723,2020-11-06
60994.035,2020-11-07
57363.01,2020-11-08
59155.1,2020-11-09
55666.27,2020-11-10
55794.254,2020-11-11
56881.527,2020-11-12
60648.336,2020-11-13
57710.766,2020-11-14
52628.52,2020-11-15
58491.38,2020-11-16
60820.45,2020-11-17
65659.32,2020-11-18
67083.08,2020-11-19
72258.37,2020-11-20
67197.99,2020-11-21
66213.83,2020-11-22
60489.29,2020-11-23
60207.016,2020-11-24
58700.793,2020-11-25
62223.22,2020-11-26
57828.656,2020-11-27
55016.59,2020-11-28
52321.254,2020-11-29
51916.86,2020-11-30
