行业类型,日期1,有功功率最大值（kw）,有功功率最小值（kw）,最高温度,最低温度,白天风力风向,夜晚风力风向,天气1,天气2
大工业用电,2019-01-01,117888.33,51526.569,12,7,1,1,5.0,5.0
大工业用电,2019-01-02,126843.7914,63638.4294,11,6,1,1,8.0,8.0
大工业用电,2019-01-03,130286.1294,102048.2754,15,9,1,1,3.0,8.0
大工业用电,2019-01-04,133018.6344,104466.0762,17,12,1,1,5.0,8.0
大工业用电,2019-01-05,133504.4784,99507.3528,17,12,1,1,5.0,8.0
大工业用电,2019-01-06,128177.277,92752.5162,16,11,1,1,5.0,5.0
大工业用电,2019-01-07,130310.5716,103008.1572,16,12,1,1,5.0,5.0
大工业用电,2019-01-08,129944.3166,95916.0342,15,12,1,1,5.0,5.0
大工业用电,2019-01-09,125720.6202,99121.317,18,11,1,1,5.0,8.0
大工业用电,2019-01-10,123156.6018,100170.5898,17,13,1,1,5.0,5.0
大工业用电,2019-01-11,123400.7388,99387.8736,18,15,1,1,5.0,8.0
大工业用电,2019-01-12,113420.7912,88231.84800000001,20,14,1,1,3.0,5.0
大工业用电,2019-01-13,99806.6688,81903.0432,22,16,1,1,5.0,5.0
大工业用电,2019-01-14,110242.0782,84833.3448,22,15,1,1,5.0,5.0
大工业用电,2019-01-15,105242.3346,81276.8538,20,12,1,1,5.0,5.0
大工业用电,2019-01-16,102722.628,78212.1468,15,10,5,5,5.0,5.0
大工业用电,2019-01-17,101912.0022,75423.753,18,9,1,1,3.0,3.0
大工业用电,2019-01-18,101456.6616,75346.464,18,9,1,1,3.0,5.0
大工业用电,2019-01-19,93148.4814,68855.4522,20,14,1,1,5.0,5.0
大工业用电,2019-01-20,84260.3826,63102.6102,22,12,5,5,3.0,5.0
大工业用电,2019-01-21,89472.2976,63279.4662,17,8,5,5,3.0,3.0
大工业用电,2019-01-22,80256.1158,56346.8544,17,7,1,1,0.0,0.0
大工业用电,2019-01-23,73730.6076,51101.2008,19,9,1,1,0.0,0.0
大工业用电,2019-01-24,66859.4064,45051.612,20,12,1,1,3.0,3.0
大工业用电,2019-01-25,65554.6776,44423.679,23,12,1,1,0.0,0.0
大工业用电,2019-01-26,57079.9086,42317.6316,20,10,5,5,0.0,0.0
大工业用电,2019-01-27,47640.9036,37531.0986,23,12,1,1,0.0,3.0
大工业用电,2019-01-28,46956.438,35645.0478,22,12,1,1,3.0,0.0
大工业用电,2019-01-29,44441.9736,34036.7826,23,14,1,1,5.0,5.0
大工业用电,2019-01-30,39320.913,31076.5764,25,15,1,1,3.0,5.0
大工业用电,2019-01-31,34190.5566,27491.793,24,12,1,1,3.0,3.0
大工业用电,2019-02-01,29698.923,18571.0344,19,12,1,1,3.0,5.0
大工业用电,2019-02-02,20169.7986,17216.9772,23,15,1,1,5.0,3.0
大工业用电,2019-02-03,20268.3438,16134.1296,22,16,1,1,5.0,3.0
大工业用电,2019-02-04,19140.5814,16333.584,26,18,1,1,5.0,5.0
大工业用电,2019-02-05,19396.0026,16234.2726,26,19,1,1,5.0,5.0
大工业用电,2019-02-06,18910.236,16045.7868,26,20,5,5,3.0,5.0
大工业用电,2019-02-07,19173.006,16228.5366,28,21,1,1,5.0,3.0
大工业用电,2019-02-08,18785.1606,16396.3824,28,20,1,1,3.0,3.0
大工业用电,2019-02-09,19234.8096,15594.4416,23,16,1,1,5.0,5.0
大工业用电,2019-02-10,20062.8756,15972.7464,12,12,1,1,5.0,5.0
大工业用电,2019-02-11,24373.4634,16622.3304,13,8,1,1,8.0,3.0
大工业用电,2019-02-12,29531.1768,20452.554,20,11,1,1,3.0,3.0
大工业用电,2019-02-13,36491.2572,22638.5688,24,18,1,1,5.0,5.0
大工业用电,2019-02-14,57668.9514,26524.0062,24,17,1,1,5.0,5.0
大工业用电,2019-02-15,66612.2808,40255.6758,25,17,1,1,6.0,6.0
大工业用电,2019-02-16,72445.7592,218.904,25,16,1,1,5.0,8.0
大工业用电,2019-02-17,73400.1144,50435.3976,15,12,1,1,8.0,11.0
大工业用电,2019-02-18,85144.9368,52566.7086,15,13,1,1,13.0,13.0
大工业用电,2019-02-19,88835.7624,55820.3694,20,16,1,1,8.0,5.0
大工业用电,2019-02-20,99309.264,58936.5642,24,18,1,1,6.0,6.0
大工业用电,2019-02-21,105605.2194,61111.3164,24,15,1,1,13.0,8.0
大工业用电,2019-02-22,109364.7084,66302.3832,18,11,1,1,5.0,11.0
大工业用电,2019-02-23,113842.0818,65781.8934,13,11,1,1,8.0,8.0
大工业用电,2019-02-24,108463.2624,70454.3598,13,9,1,1,8.0,5.0
大工业用电,2019-02-25,123272.9562,76269.195,16,12,1,1,8.0,5.0
大工业用电,2019-02-26,124566.6702,82972.8174,14,11,1,1,8.0,8.0
大工业用电,2019-02-27,130045.8114,82922.8002,22,15,1,1,5.0,5.0
大工业用电,2019-02-28,126584.6622,81783.7812,22,15,1,1,5.0,5.0
大工业用电,2019-03-01,127249.4376,85008.1818,25,16,1,1,3.0,3.0
大工业用电,2019-03-02,127938.4968,87346.3038,26,15,1,1,3.0,11.0
大工业用电,2019-03-03,116814.834,81770.8014,20,13,1,1,8.0,3.0
大工业用电,2019-03-04,136369.5288,95851.5726,22,13,1,1,8.0,8.0
大工业用电,2019-03-05,133529.9292,97141.7946,23,15,5,5,7.0,11.0
大工业用电,2019-03-06,132401.73,102810.5502,19,14,1,1,,
大工业用电,2019-03-07,139271.3058,102735.3732,16,13,1,1,13.0,11.0
大工业用电,2019-03-08,139949.7582,103113.2148,16,13,1,1,6.0,6.0
大工业用电,2019-03-09,137539.932,99557.406,17,13,1,1,9.0,9.0
大工业用电,2019-03-10,117868.473,95172.2136,17,12,1,1,6.0,3.0
大工业用电,2019-03-11,130910.0766,102215.8182,22,14,1,1,3.0,0.0
大工业用电,2019-03-12,138563.1168,103192.089,24,14,1,1,0.0,3.0
大工业用电,2019-03-13,140725.5858,104956.1148,25,17,1,1,6.0,11.0
大工业用电,2019-03-14,139172.6886,99662.6886,20,18,1,1,11.0,8.0
大工业用电,2019-03-15,129078.9444,107425.392,19,14,1,1,8.0,5.0
大工业用电,2019-03-16,129090.3324,102393.5316,22,17,1,1,5.0,5.0
大工业用电,2019-03-17,122861.3904,99648.1734,24,17,1,1,5.0,5.0
大工业用电,2019-03-18,138200.595,113023.1634,23,17,1,1,8.0,5.0
大工业用电,2019-03-19,130698.7524,109989.8406,27,19,1,1,3.0,3.0
大工业用电,2019-03-20,138065.6274,105842.2224,28,22,1,1,3.0,3.0
大工业用电,2019-03-21,138581.8242,107613.6024,29,22,1,1,3.0,6.0
大工业用电,2019-03-22,138016.2042,107900.9766,28,18,1,1,7.0,7.0
大工业用电,2019-03-23,130209.8406,1695.486,17,13,1,1,8.0,9.0
大工业用电,2019-03-24,120938.2776,1484.442,18,12,1,1,8.0,9.0
