日期,天气状况,最高温度,最低温度,白天风力风向,夜晚风力风向
2021年9月1日,雷阵雨/雷阵雨,33℃,26℃,北风1-2级,北风1-2级
2021年9月2日,多云/多云,33℃,26℃,北风1-2级,北风1-2级
2021年9月3日,多云/多云,35℃,27℃,北风1-2级,北风1-2级
2021年9月4日,阵雨/多云,35℃,27℃,北风1-2级,北风1-2级
2021年9月5日,阵雨/晴,35℃,27℃,北风1-2级,北风1-2级
2021年9月6日,雷阵雨/中雨,35℃,25℃,北风1-2级,北风1-2级
2021年9月7日,中雨/阵雨,34℃,27℃,北风1-2级,北风1-2级
2021年9月8日,多云/多云,34℃,26℃,北风1-2级,北风1-2级
2021年9月9日,雷阵雨/多云,35℃,28℃,北风1-2级,北风1-2级
2021年9月10日,雷阵雨/多云,36℃,28℃,北风1-2级,北风1-2级
2021年9月11日,多云/多云,36℃,27℃,西北风1-2级,西北风1-2级
2021年9月12日,雷阵雨/多云,36℃,26℃,西北风1-2级,西北风1-2级
2021年9月13日,多云/多云,36℃,27℃,北风1-2级,北风1-2级
2021年9月14日,雷阵雨/雷阵雨,35℃,27℃,北风1-2级,北风1-2级
2021年9月15日,雷阵雨/多云,35℃,27℃,北风1-2级,北风1-2级
2021年9月16日,中雨/多云,34℃,26℃,北风1-2级,北风1-2级
2021年9月17日,雷阵雨/多云,34℃,28℃,北风1-2级,北风1-2级
2021年9月18日,多云/多云,35℃,27℃,北风1-2级,北风1-2级
2021年9月19日,雷阵雨/雷阵雨,35℃,27℃,北风1-2级,北风1-2级
2021年9月20日,多云/多云,35℃,25℃,北风1-2级,北风1-2级
2021年9月21日,多云/多云,36℃,27℃,北风1-2级,北风1-2级
2021年9月22日,阴/阴,36℃,25℃,北风1-2级,北风1-2级
2021年9月23日,雷阵雨/多云,34℃,26℃,北风1-2级,北风1-2级
2021年9月24日,雷阵雨/雷阵雨,33℃,26℃,北风1-2级,北风1-2级
2021年9月25日,多云/多云,34℃,25℃,北风1-2级,北风1-2级
2021年9月26日,多云/晴,35℃,26℃,北风1-2级,北风1-2级
2021年9月27日,晴/晴,36℃,26℃,北风1-2级,北风1-2级
2021年9月28日,多云/晴,36℃,28℃,北风1-2级,北风1-2级
2021年9月29日,多云/多云,36℃,27℃,北风1-2级,北风1-2级
2021年9月30日,雷阵雨/多云,36℃,27℃,北风1-2级,北风1-2级
2021年10月1日,雷阵雨/雷阵雨,35℃,25℃,北风1-2级,北风1-2级
2021年10月2日,多云/雷阵雨,34℃,25℃,北风1-2级,北风1-2级
2021年10月3日,雷阵雨/雷阵雨,33℃,26℃,北风1-2级,北风1-2级
2021年10月4日,多云/多云,35℃,27℃,北风1-2级,北风1-2级
