min,date_day
11834.356,2020-09-01
12599.61,2020-09-02
12348.372,2020-09-03
10173.533,2020-09-04
6325.2593,2020-09-05
11688.589,2020-09-06
14064.221,2020-09-07
11675.573,2020-09-08
12904.926,2020-09-09
11782.1,2020-09-10
9428.351,2020-09-11
8007.8213,2020-09-12
10979.331,2020-09-13
13003.355,2020-09-14
10611.1045,2020-09-15
12111.095,2020-09-16
12130.791,2020-09-17
9249.936,2020-09-18
7486.61,2020-09-19
10314.918,2020-09-20
11831.065,2020-09-21
11235.528,2020-09-22
12426.704,2020-09-23
9781.914,2020-09-24
8346.844,2020-09-25
8115.3457,2020-09-26
10365.415,2020-09-27
10613.597,2020-09-28
10249.222,2020-09-29
10357.692,2020-09-30
5613.4717,2020-10-01
6469.41,2020-10-02
6199.0645,2020-10-03
6483.1836,2020-10-04
7548.0645,2020-10-05
5940.5796,2020-10-06
4280.6763,2020-10-07
4640.3984,2020-10-08
6133.3003,2020-10-09
6388.8667,2020-10-10
5709.3257,2020-10-11
7840.6406,2020-10-12
7140.7886,2020-10-13
7419.391,2020-10-14
8077.67,2020-10-15
7497.013,2020-10-16
5550.1943,2020-10-17
6783.505,2020-10-18
7342.701,2020-10-19
6844.7886,2020-10-20
7711.7197,2020-10-21
6725.456,2020-10-22
5753.7817,2020-10-23
4756.765,2020-10-24
5326.9565,2020-10-25
7084.75,2020-10-26
7307.8457,2020-10-27
7792.6987,2020-10-28
6984.3467,2020-10-29
5759.771,2020-10-30
4911.7056,2020-10-31
5836.4365,2020-11-01
7747.177,2020-11-02
6630.5537,2020-11-03
6966.4395,2020-11-04
6770.3145,2020-11-05
5705.309,2020-11-06
5054.5513,2020-11-07
5559.358,2020-11-08
6495.4795,2020-11-09
6107.198,2020-11-10
6487.813,2020-11-11
6209.0977,2020-11-12
5592.6914,2020-11-13
4692.8867,2020-11-14
4947.51,2020-11-15
6547.19,2020-11-16
6531.745,2020-11-17
7449.593,2020-11-18
7537.5205,2020-11-19
6632.5674,2020-11-20
5071.077,2020-11-21
5577.26,2020-11-22
6417.428,2020-11-23
6325.579,2020-11-24
6768.759,2020-11-25
6718.935,2020-11-26
5411.5864,2020-11-27
4495.924,2020-11-28
4612.316,2020-11-29
5753.427,2020-11-30
